state,sex,reference,method,cause_group,contribution,ppd_gap,contribution_pct,rnk
District of Columbia,Male,local_best3,horiuchi,Violence,0.0162571400060155,0.128015660778927,12.6993368679246,4
District of Columbia,Male,local_best3,horiuchi,NCDs strongly linked to tobacco use,0.00842342873481894,0.128015660778927,6.5799986373273,5
District of Columbia,Male,local_best3,stepwise,Mental and substance use disorders,0.0414451284654206,0.128015660778927,32.375045532119,1
District of Columbia,Male,local_best3,stepwise,Other,0.0326766567219054,0.128015660778927,25.5255150214281,2
District of Columbia,Male,local_best3,stepwise,Atherosclerotic CVDs,0.0203934173231669,0.128015660778927,15.9304082009034,3
District of Columbia,Male,local_best3,stepwise,Violence,0.0162769590569737,0.128015660778927,12.7148186072974,4
District of Columbia,Male,local_best3,stepwise,NCDs strongly linked to tobacco use,0.00842008742880268,0.128015660778927,6.57738856134447,5
District of Columbia,Male,western_europe,horiuchi,Mental and substance use disorders,0.0633825947850917,0.157064809811254,40.3544211216115,1
District of Columbia,Male,western_europe,horiuchi,Atherosclerotic CVDs,0.024471595159161,0.157064809811254,15.5805716051665,2
District of Columbia,Male,western_europe,horiuchi,Other,0.0240782103532033,0.157064809811254,15.3301114247923,3
District of Columbia,Male,western_europe,horiuchi,Violence,0.0187830397477584,0.157064809811254,11.9587829828528,4
District of Columbia,Male,western_europe,horiuchi,Diabetes,0.00875055859797924,0.157064809811254,5.57130436059792,5
District of Columbia,Male,western_europe,stepwise,Mental and substance use disorders,0.0633579088710677,0.157064809811254,40.338704097503,1
District of Columbia,Male,western_europe,stepwise,Atherosclerotic CVDs,0.0244527327555009,0.157064809811254,15.5685622927796,2
District of Columbia,Male,western_europe,stepwise,Other,0.0241033333303823,0.157064809811254,15.346106718206,3
District of Columbia,Male,western_europe,stepwise,Violence,0.0188064387071078,0.157064809811254,11.9736806288484,4
District of Columbia,Male,western_europe,stepwise,Diabetes,0.0087458620347573,0.157064809811254,5.56831415341683,5
Florida,Female,local_best3,horiuchi,Other,0.00743576008242952,0.034305440930443,21.6751625420181,1
Florida,Female,local_best3,horiuchi,Mental and substance use disorders,0.00704871647146843,0.034305440930443,20.5469344812103,2
Florida,Female,local_best3,horiuchi,NCDs strongly linked to tobacco use,0.00657688463818484,0.034305440930443,19.1715496428686,3
Florida,Female,local_best3,horiuchi,Atherosclerotic CVDs,0.0043449275656432,0.034305440930443,12.6654182187977,4
Florida,Female,local_best3,horiuchi,Road injury,0.00197329369172961,0.034305440930443,5.75213038576189,5
Florida,Female,local_best3,stepwise,Other,0.00743580728860749,0.034305440930443,21.6753001475311,1
Florida,Female,local_best3,stepwise,Mental and substance use disorders,0.00704871007330898,0.034305440930443,20.5469158306428,2
Florida,Female,local_best3,stepwise,NCDs strongly linked to tobacco use,0.0065768645727971,0.034305440930443,19.1714911524741,3
Florida,Female,local_best3,stepwise,Atherosclerotic CVDs,0.00434486244303389,0.034305440930443,12.6652283870755,4
Florida,Female,local_best3,stepwise,Road injury,0.00197333302944247,0.034305440930443,5.75224505478172,5
Florida,Female,western_europe,horiuchi,Mental and substance use disorders,0.0200747303993467,0.0596822397785664,33.636020487549,1
Florida,Female,western_europe,horiuchi,Atherosclerotic CVDs,0.00875022409321191,0.0596822397785664,14.6613534037548,2
Florida,Female,western_europe,horiuchi,NCDs strongly linked to tobacco use,0.00615000095735541,0.0596822397785664,10.3045746610268,3
Florida,Female,western_europe,horiuchi,Diabetes,0.00449299092962419,0.0596822397785664,7.52818752495571,4
Florida,Female,western_europe,horiuchi,Road injury,0.0037272973606568,0.0596822397785664,6.24523706631296,5
Florida,Female,western_europe,stepwise,Mental and substance use disorders,0.0200741035285822,0.0596822397785664,33.6349701402986,1
Florida,Female,western_europe,stepwise,Atherosclerotic CVDs,0.00874984826813063,0.0596822397785664,14.6607236936724,2
Florida,Female,western_europe,stepwise,NCDs strongly linked to tobacco use,0.00615029294517877,0.0596822397785664,10.305063898402,3
Florida,Female,western_europe,stepwise,Diabetes,0.0044928886709612,0.0596822397785664,7.52801618644133,4
Florida,Female,western_europe,stepwise,Road injury,0.00372750276696815,0.0596822397785664,6.24558123287257,5
Florida,Male,local_best3,horiuchi,Mental and substance use disorders,0.0155381583943358,0.0587752955851496,26.4365465790388,1
Florida,Male,local_best3,horiuchi,Other,0.00998590099884855,0.0587752955851496,16.9899630438807,2
Florida,Male,local_best3,horiuchi,Atherosclerotic CVDs,0.00985122081204637,0.0587752955851496,16.7608188337813,3
Florida,Male,local_best3,horiuchi,NCDs strongly linked to tobacco use,0.00938103029327597,0.0587752955851496,15.9608389883559,4
Florida,Male,local_best3,horiuchi,Road injury,0.00505240731235579,0.0587752955851496,8.59614105221506,5
Florida,Male,local_best3,stepwise,Mental and substance use disorders,0.0155380923740858,0.0587752955851496,26.4364342525089,1
