state,sex,year_start,year_end,ppd_start,ppd_end,aari
South Dakota,Male,2010,2019,0.24845581771784,0.253751283428912,-0.00234054047215804
South Dakota,Female,2010,2019,0.164224307638372,0.166686066854264,-0.00165185432536419
Tennessee,Male,2010,2019,0.325308540298871,0.34125882053482,-0.00530444892163495
Tennessee,Female,2010,2019,0.213735092596031,0.223657989048206,-0.00502960754156256
Texas,Male,2010,2019,0.269889017132414,0.267462058282575,0.001004182604885
Texas,Female,2010,2019,0.176485474811754,0.170765155382256,0.00366774589641272
Utah,Male,2010,2019,0.224631772301803,0.215234677628673,0.00475946123829263
Utah,Female,2010,2019,0.149094062588382,0.14660803351489,0.00187005888085912
Vermont,Male,2010,2019,0.225222663557468,0.232878474649224,-0.00370724677449141
Vermont,Female,2010,2019,0.142693942620597,0.145544818083868,-0.00219558528165464
Virginia,Male,2010,2019,0.250940556947368,0.253295883952381,-0.00103748599527764
Virginia,Female,2010,2019,0.165381855563003,0.165551315160039,-0.000113785961499135
Washington,Male,2010,2019,0.229439786451539,0.227816007071429,0.000789457016879824
Washington,Female,2010,2019,0.15248772381705,0.148420351616224,0.00300847547799887
West Virginia,Male,2010,2019,0.343745599636722,0.366595133202339,-0.00712518486421987
West Virginia,Female,2010,2019,0.230642441817562,0.246649639041519,-0.00742785652699707
Wisconsin,Male,2010,2019,0.235960483607511,0.238907899524893,-0.00137835712104595
Wisconsin,Female,2010,2019,0.155517573464405,0.156063160147992,-0.000389042102104664
Wyoming,Male,2010,2019,0.262514245006904,0.265814297994658,-0.00138710262539443
Wyoming,Female,2010,2019,0.179522926620459,0.181418923302015,-0.00116664401397526
Alabama,Male,2019,2023,0.346205878344167,0.370628518310752,-0.016897272376761
Alabama,Female,2019,2023,0.225621181275907,0.241474665721287,-0.0168334963091175
Alaska,Male,2019,2023,0.263588233284515,0.320817991676777,-0.0479345045099584
Alaska,Female,2019,2023,0.183450826594044,0.213074006336753,-0.0367316293064353
Arizona,Male,2019,2023,0.275340457080995,0.295224532879157,-0.0172809017975089
Arizona,Female,2019,2023,0.168524395123387,0.179039676875941,-0.0150178212146083
Arkansas,Male,2019,2023,0.339627991792501,0.362043948522874,-0.0158517011781308
Arkansas,Female,2019,2023,0.230269296031297,0.245535667768581,-0.0159201005979021
California,Male,2019,2023,0.222946657285302,0.238690725572559,-0.0169143537448754
California,Female,2019,2023,0.135516550904603,0.139352773498527,-0.00695442455762108
Colorado,Male,2019,2023,0.232123973334303,0.248805095468146,-0.0171999240121986
Colorado,Female,2019,2023,0.145106221715235,0.151494194740881,-0.0107125247755785
Connecticut,Male,2019,2023,0.230598595436452,0.231232532209409,-0.000686094589416153
Connecticut,Female,2019,2023,0.136044939744421,0.137347287126487,-0.00237901324172285
Delaware,Male,2019,2023,0.277471743405802,0.294925129598663,-0.0151349043590931
Delaware,Female,2019,2023,0.171572396364132,0.1828392460902,-0.0157747584298146
District of Columbia,Male,2019,2023,0.342086370670989,0.335961667773268,0.00452676035233646
District of Columbia,Female,2019,2023,0.219722007857039,0.215532760989445,0.00482415533482095
Florida,Male,2019,2023,0.272622928229042,0.27681968421999,-0.00381189361188761
Florida,Female,2019,2023,0.167356798355062,0.170953981642965,-0.00530248112315912
Georgia,Male,2019,2023,0.292967061729861,0.306267008875945,-0.0110379087986553
Georgia,Female,2019,2023,0.19281754302759,0.200923779309202,-0.0102424996206536
Hawaii,Male,2019,2023,0.231178957555819,0.256446912200783,-0.0255990320504964
