state,sex,ppd_baseline,ppd_2050_target,required_aari,observed_aari_2010_2019,implied_ppd_2050,implied_reduction_2050,performance_group
Arizona,Male,0.295224532879157,0.147612266439579,0.0260044847070386,-0.00657761098478993,0.352806004233161,-0.195042975569965,Low or worsening
Delaware,Male,0.294925129598663,0.147462564799332,0.0260044847070386,-0.000515122514013977,0.299056768779318,-0.0140091120287964,Low or worsening
Michigan,Male,0.284757802593684,0.142378901296842,0.0260044847070386,0.000571528359786244,0.280398595384272,0.015308473269937,Low or worsening
Maine,Male,0.28383878347565,0.141919391737825,0.0260044847070386,-0.00563284382612361,0.330604617513081,-0.164761959112058,Low or worsening
Kansas,Male,0.282714073117881,0.14135703655894,0.0260044847070386,-0.00052900485242946,0.286782174818178,-0.0143894559454816,Low or worsening
Wyoming,Male,0.279948137005386,0.139974068502693,0.0260044847070386,-0.00138710262539443,0.290639053321534,-0.038188917527757,Low or worsening
Oregon,Male,0.279396695163327,0.139698347581664,0.0260044847070386,0.00144479403792452,0.268714998436171,0.0382312923240267,Low or worsening
Texas,Male,0.27780658562632,0.13890329281316,0.0260044847070386,0.001004182604885,0.270379305986613,0.0267354340177415,Low or worsening
Florida,Male,0.27681968421999,0.138409842109995,0.0260044847070386,-9.82726743681273e-05,0.277555198611089,-0.00265701622040293,Low or worsening
Pennsylvania,Male,0.272611575908322,0.136305787954161,0.0260044847070386,0.00226877784770685,0.25643119054156,0.0593532586165868,Low or worsening
Illinois,Male,0.269570356468104,0.134785178234052,0.0260044847070386,-9.30513354391316e-05,0.270248504352726,-0.00251566193519071,Low or worsening
Maryland,Male,0.268649332186699,0.13432466609335,0.0260044847070386,-0.0040084398984348,0.299421506825591,-0.114544020595242,Low or worsening
Virginia,Male,0.266897425567473,0.133448712783736,0.0260044847070386,-0.00103748599527764,0.274483479098508,-0.028423104924695,Low or worsening
North Dakota,Male,0.265532559662506,0.132766279831253,0.0260044847070386,-0.001925070286945,0.279713107009025,-0.0534041752338863,Low or worsening
Montana,Male,0.264628233043354,0.132314116521677,0.0260044847070386,-0.000919470219545082,0.271283137422381,-0.0251481268740401,Low or worsening
Vermont,Male,0.261068540810076,0.130534270405038,0.0260044847070386,-0.00370724677449141,0.288606637122422,-0.105482247025618,Low or worsening
Iowa,Male,0.260936897962998,0.130468448981499,0.0260044847070386,-0.00339104041671712,0.286000136908858,-0.0960509576894508,Low or worsening
Washington,Male,0.258231191778827,0.129115595889413,0.0260044847070386,0.000789457016879824,0.252787280297387,0.0210815410947816,Low or worsening
Hawaii,Male,0.256446912200783,0.128223456100392,0.0260044847070386,0.00227044157320444,0.241215141067884,0.0593954163931371,Low or worsening
South Dakota,Male,0.256363691863319,0.128181845931659,0.0260044847070386,-0.00234054047215804,0.273107576510968,-0.0653130110818361,Low or worsening
Wisconsin,Male,0.251208726926482,0.125604363463241,0.0260044847070386,-0.00137835712104595,0.260740455458163,-0.0379434609947671,Low or worsening
Nebraska,Male,0.250964778149545,0.125482389074773,0.0260044847070386,0.000904469824091203,0.244912977891394,0.0241141418440207,Low or worsening
Colorado,Male,0.248805095468146,0.124402547734073,0.0260044847070386,-0.00363839929659049,0.27453692489619,-0.103421633627027,Low or worsening
New Hampshire,Male,0.243298969977445,0.121649484988723,0.0260044847070386,-0.00543373874193986,0.281857607805533,-0.158482536246096,Low or worsening
Idaho,Male,0.24210777143143,0.121053885715715,0.0260044847070386,0.00585596462182547,0.20679605491511,0.145851231075915,Low or worsening
Rhode Island,Male,0.240101661120945,0.120050830560473,0.0260044847070386,0.00413001212854858,0.214815975055565,0.10531241619625,Low or worsening
California,Male,0.238690725572559,0.119345362786279,0.0260044847070386,0.00158328139440966,0.228709785334921,0.0418153667835062,Low or worsening
Connecticut,Male,0.231232532209409,0.115616266104705,0.0260044847070386,-0.00577059614457409,0.270340213833514,-0.169127074163974,Low or worsening
New York,Male,0.230046741378726,0.115023370689363,0.0260044847070386,0.00692243297925388,0.190951748825758,0.169943691958694,Low or worsening
Utah,Male,0.223574729708544,0.111787364854272,0.0260044847070386,0.00475946123829263,0.196673522410074,0.120323112247698,Low or worsening
Minnesota,Male,0.223096262642284,0.111548131321142,0.0260044847070386,0.000965276592090003,0.217359671115102,0.0257135258979236,Low or worsening
Massachusetts,Male,0.219725556314458,0.109862778157229,0.0260044847070386,0.00121659864147228,0.212629475293584,0.0322952010676368,Low or worsening
New Jersey,Male,0.218710624646207,0.109355312323103,0.0260044847070386,0.00256577033667171,0.204090276842508,0.0668479084056823,Low or worsening
